date,teamname,game,side,teamkills,teamdeaths,dragons,barons,towers,totalgold,result,split
2022-04-09 19:19:28,FURIA,4,Red,14,24,2.0,0.0,3.0,56828,0,Split 1
2022-04-10 15:45:10,RED Canids,1,Blue,21,24,1.0,1.0,3.0,61111,0,Split 1
2022-04-10 15:45:10,KaBuM! e-Sports,1,Red,24,21,4.0,1.0,9.0,68745,1,Split 1
2022-04-10 17:02:07,RED Canids,2,Blue,24,8,4.0,1.0,11.0,54548,1,Split 1
2022-04-10 17:02:07,KaBuM! e-Sports,2,Red,8,24,0.0,0.0,2.0,41172,0,Split 1
2022-04-10 17:50:16,RED Canids,3,Blue,21,17,4.0,2.0,10.0,74581,1,Split 1
2022-04-10 17:50:16,KaBuM! e-Sports,3,Red,17,21,2.0,1.0,5.0,68969,0,Split 1
2022-04-10 18:50:34,KaBuM! e-Sports,4,Blue,13,30,1.0,0.0,5.0,62089,0,Split 1
2022-04-10 18:50:34,RED Canids,4,Red,30,13,4.0,1.0,11.0,72364,1,Split 1
2022-04-23 15:45:05,RED Canids,1,Blue,9,26,0.0,0.0,2.0,46071,0,Split 1
2022-04-23 15:45:05,paiN Gaming,1,Red,26,9,4.0,1.0,9.0,59199,1,Split 1
2022-04-23 17:07:14,RED Canids,2,Blue,18,7,4.0,1.0,10.0,60902,1,Split 1
2022-04-23 17:07:14,paiN Gaming,2,Red,7,18,1.0,0.0,3.0,49948,0,Split 1
2022-04-23 18:01:45,RED Canids,3,Blue,13,26,2.0,0.0,4.0,55010,0,Split 1
2022-04-23 18:01:45,paiN Gaming,3,Red,26,13,2.0,2.0,8.0,65126,1,Split 1
2022-04-23 18:59:11,RED Canids,4,Blue,21,6,4.0,1.0,10.0,58158,1,Split 1
2022-04-23 18:59:11,paiN Gaming,4,Red,6,21,0.0,0.0,2.0,45732,0,Split 1
2022-04-23 19:51:22,RED Canids,5,Blue,16,4,4.0,1.0,9.0,49282,1,Split 1
2022-04-23 19:51:22,paiN Gaming,5,Red,4,16,0.0,0.0,4.0,44150,0,Split 1
2022-06-11 15:46:13,paiN Gaming,1,Blue,17,23,1.0,1.0,3.0,63490,0,Split 2
2022-06-11 15:46:13,RED Canids,1,Red,23,17,4.0,1.0,11.0,72190,1,Split 2
2022-06-11 17:35:55,INTZ,1,Blue,18,6,4.0,1.0,8.0,62552,1,Split 2
2022-06-11 17:35:55,Rensga eSports,1,Red,6,18,1.0,0.0,4.0,57286,0,Split 2
2022-06-11 18:16:05,Liberty,1,Blue,16,8,2.0,1.0,9.0,60746,1,Split 2
2022-06-11 18:16:05,Miners,1,Red,8,16,3.0,0.0,3.0,53042,0,Split 2
2022-06-11 19:20:30,FURIA,1,Blue,18,6,2.0,1.0,7.0,49557,1,Split 2
2022-06-11 19:20:30,KaBuM! e-Sports,1,Red,6,18,1.0,0.0,3.0,39395,0,Split 2
2022-06-11 20:22:21,Flamengo Los Grandes,1,Blue,10,20,1.0,1.0,2.0,60734,0,Split 2
