date,teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
2018-02-03 18:14:13,Team oNe eSports,Split 1,0,11022,4,17,,,
2018-02-03 18:14:13,Team oNe eSports,Split 1,0,16392,4,17,,,
2018-02-03 18:14:13,Team oNe eSports,Split 1,0,15990,4,17,,,
2018-02-03 18:14:13,Team oNe eSports,Split 1,0,9621,4,17,,,
2018-02-03 18:14:13,Vivo Keyd,Split 1,1,15489,17,4,,,
2018-02-03 18:14:13,Vivo Keyd,Split 1,1,14310,17,4,,,
2018-02-03 18:14:13,Vivo Keyd,Split 1,1,18231,17,4,,,
2018-02-03 18:14:13,Vivo Keyd,Split 1,1,18359,17,4,,,
2018-02-03 18:14:13,Vivo Keyd,Split 1,1,11392,17,4,,,
2018-02-03 18:14:13,Team oNe eSports,Split 1,0,67766,4,17,3.0,3.0,0.0
2018-02-03 18:14:13,Vivo Keyd,Split 1,1,77781,17,4,10.0,2.0,2.0
2018-02-03 19:27:36,Vivo Keyd,Split 1,1,14381,26,10,,,
2018-02-03 19:27:36,Vivo Keyd,Split 1,1,13172,26,10,,,
2018-02-03 19:27:36,Vivo Keyd,Split 1,1,16500,26,10,,,
2018-02-03 19:27:36,Vivo Keyd,Split 1,1,18743,26,10,,,
2018-02-03 19:27:36,Vivo Keyd,Split 1,1,11544,26,10,,,
2018-02-03 19:27:36,Team oNe eSports,Split 1,0,11387,10,26,,,
2018-02-03 19:27:36,Team oNe eSports,Split 1,0,10740,10,26,,,
2018-02-03 19:27:36,Team oNe eSports,Split 1,0,11103,10,26,,,
2018-02-03 19:27:36,Team oNe eSports,Split 1,0,15395,10,26,,,
2018-02-03 19:27:36,Team oNe eSports,Split 1,0,8910,10,26,,,
2018-02-03 19:27:36,Vivo Keyd,Split 1,1,74340,26,10,11.0,3.0,2.0
2018-02-03 19:27:36,Team oNe eSports,Split 1,0,57535,10,26,1.0,1.0,0.0
2018-02-04 15:00:26,KaBuM! e-Sports,Split 1,1,13878,10,8,,,
2018-02-04 15:00:26,KaBuM! e-Sports,Split 1,1,12834,10,8,,,
2018-02-04 15:00:26,KaBuM! e-Sports,Split 1,1,14609,10,8,,,
2018-02-04 15:00:26,KaBuM! e-Sports,Split 1,1,14652,10,8,,,
2018-02-04 15:00:26,KaBuM! e-Sports,Split 1,1,8461,10,8,,,
2018-02-04 15:00:26,RED Canids,Split 1,0,10488,8,10,,,
2018-02-04 15:00:26,RED Canids,Split 1,0,10048,8,10,,,
2018-02-04 15:00:26,RED Canids,Split 1,0,12588,8,10,,,
2018-02-04 15:00:26,RED Canids,Split 1,0,13405,8,10,,,
2018-02-04 15:00:26,RED Canids,Split 1,0,7678,8,10,,,
2018-02-04 15:00:26,KaBuM! e-Sports,Split 1,1,64434,10,8,11.0,3.0,2.0
2018-02-04 15:00:26,RED Canids,Split 1,0,54207,8,10,3.0,1.0,0.0
2018-02-04 16:01:21,RED Canids,Split 1,0,9290,3,9,,,
2018-02-04 16:01:21,RED Canids,Split 1,0,6635,3,9,,,
2018-02-04 16:01:21,RED Canids,Split 1,0,10360,3,9,,,
2018-02-04 16:01:21,RED Canids,Split 1,0,9279,3,9,,,
2018-02-04 16:01:21,RED Canids,Split 1,0,5859,3,9,,,
2018-02-04 16:01:21,KaBuM! e-Sports,Split 1,1,11183,9,3,,,
2018-02-04 16:01:21,KaBuM! e-Sports,Split 1,1,10327,9,3,,,
2018-02-04 16:01:21,KaBuM! e-Sports,Split 1,1,10890,9,3,,,
2018-02-04 16:01:21,KaBuM! e-Sports,Split 1,1,13846,9,3,,,
2018-02-04 16:01:21,KaBuM! e-Sports,Split 1,1,8761,9,3,,,
2018-02-04 16:01:21,RED Canids,Split 1,0,41423,3,9,1.0,1.0,0.0
2018-02-04 16:01:21,KaBuM! e-Sports,Split 1,1,55007,9,3,11.0,1.0,1.0
2018-02-04 16:57:02,ProGaming Esports,Split 1,1,24415,21,12,,,
2018-02-04 16:57:02,ProGaming Esports,Split 1,1,14476,21,12,,,
2018-02-04 16:57:02,ProGaming Esports,Split 1,1,17435,21,12,,,
2018-02-04 16:57:02,ProGaming Esports,Split 1,1,19876,21,12,,,
2018-02-04 16:57:02,ProGaming Esports,Split 1,1,10804,21,12,,,
2018-02-04 16:57:02,INTZ,Split 1,0,18305,12,21,,,
2018-02-04 16:57:02,INTZ,Split 1,0,11519,12,21,,,
2018-02-04 16:57:02,INTZ,Split 1,0,17639,12,21,,,
2018-02-04 16:57:02,INTZ,Split 1,0,17283,12,21,,,
2018-02-04 16:57:02,INTZ,Split 1,0,10120,12,21,,,
2018-02-04 16:57:02,ProGaming Esports,Split 1,1,87006,21,12,10.0,3.0,2.0
2018-02-04 16:57:02,INTZ,Split 1,0,74866,12,21,6.0,3.0,0.0
2018-02-04 18:22:04,INTZ,Split 1,0,10990,3,13,,,
2018-02-04 18:22:04,INTZ,Split 1,0,9444,3,13,,,
